cd_autostrada,ramo,c_str,c_ram,t_des_str,t_des_ram,concat
A01,A1 Milano-Napoli,A01,A1,A1 MILANO-NAPOLI,A1 Milano-Napoli,A01-A1
D02,A1 Diramaz. Capodichino-Tang.Napoli,A01,D2,A1 MILANO-NAPOLI,A1 Diramaz. Capodichino-Tang.Napoli,A01-D2
D18,A1 Diramazione Roma nord - GRA,A01,D18,A1 MILANO-NAPOLI,A1 Diramazione Roma nord - GRA,A01-D18
D19,A1 Diramazione Roma sud - GRA,A01,D19,A1 MILANO-NAPOLI,A1 Diramazione Roma sud - GRA,A01-D19
F01,SV. BARRA CAPODIC. RAMO A,,,,,-
F02,SV. BARRA CAPODIC. RAMO B,,,,,-
F03,SV. BARRA CAPODIC. RAMO C,A01,F3,A1 MILANO-NAPOLI,RAMO CAPODICHINO A1 SUD,A01-F3
F04,SV. BARRA CAPODIC. RAMO D,,,,,-
F06,SV. BARRA CAPODIC. RAMO E,,,,,-
F07,SV. BARRA CAPODIC. RAMO F,,,,,-
F08,SV. BARRA CAPODIC. RAMO G,,,,,-
R05,Racc. A1 Milano-Piazzale Corvetto,,,,,-
R06,Racc. A1-Tangenziale est Milano,,,,,-
R07,Raccordo Casoria-Capodichino,,,,,-
R08,Raccordo A1-Caserta sud,,,,,-
R28,Complanare Milano-Poasco-Via Emilia,,,,,-
R42,Raccordo A1/FI-PI-LI,,,,,-
R43,Raccordo Sasso Marconi-S.S. 64,,,,,-
R49,Complanare di Piacenza sud,,,,,-
R65,Complanare Firenze nord,,,,,-
R79,A1 Interna,,,,,-
VAR,Variante di valico,A01,VAR,A1 MILANO-NAPOLI,A1 DIRETTISSIMA,A01-VAR
A02,SALERNO-REGGIO CALABRIA,,,,,-
A03,A3 Napoli-Salerno,A03,A3,A3 NAPOLI-SALERNO,A3 Napoli-Salerno,A03-A3
A04,A4 Torino-Trieste,A04,A4,A4 MILANO-BRESCIA️,A4 Torino-Trieste,A04-A4
R03,Racc. A4 Monza-Tang.nord Milano,,,,,-
R10,Racc. A4 Ghisolfa-Tang.ovest Milano,,,,,-
R20,Raccordo A4 Milano Viale Certosa,,,,,-
R44,Raccordo Sistiana-Trieste,,,,,-
R45,Raccordo per Fernetti,,,,,-
R47,Racc. A4 Chivasso - SS 31bis,,,,,-
R51,BRETELLA PORCILLANA EST,,,,,-
R54,RACCORDO TG.LE DI LIMENA,,,,,-
R55,RACC. O TG.LE SUD DI VICENZA,,,,,-
R56,VIALE SERENISSIMA,,,,,-
R57,RACCORDO VARIANTE DI LONATO,,,,,-
R58,RACC. TANG LIMENA-TANG NORD PD,,,,,-
R60,BRETELLA DI NOVENTA,,,,,-
R77,BRETELLA DI LATISANA,,,,,-
R78,RACC.BRESCIA OVEST-R76 BREBEMI,,,,,-
R89,RACC.ALTE MONTECCHIO BS-PD,,,,,-
T21,TANGENZIALE NOVARA,,,,,-
T22,CIRCONVALLAZIONE GALLIATE (NO),,,,,-
T23,CIRCONVALLAZIONE ROMENTINO (NO),,,,,-
A05,A5 Torino-Aosta-Monte Bianco,A05,A5,A5 TORINO - AOSTA - MONTE BIANCO,A5 Torino-Aosta-Monte Bianco,A05-A5
R04,Raccordo A4-A5 Ivrea-Santhià,A05,R4,A5 TORINO - AOSTA - MONTE BIANCO,Raccordo A4-A5 Ivrea-Santhia,A05-R4
R26,A5 area merci di Aosta,,,,,-
R29,Raccordo A5 Aosta-Gran San Bernardo,,,,,-
A06,A6 Torino-Savona,A06,A6,A6 TORINO-SAVONA,A6 Torino-Savona,A06-A6
D06,A6 Diramazione per Fossano,,,,,-
A07,A7 Milano-Genova,A07,A7,A7 SERRAVALLE️-GENOVA,A7 Milano-Serravalle-Genova,A07-A7
A53,Raccordo Bereguardo-Pavia,,,,,-
R35,Raccordo A7-Piazza Maggi,,,,,-
A08,A8 Milano-Varese,A08,A8,A8 MILANO-VARESE,A8 Milano-Varese,A08-A8
D08,Diramaz. A8-A26 Gallarate-Gattico,A08,D8,A8 MILANO-VARESE,Diramaz. A8-A26 Gallarate-Gattico,A08-D8
R37,Raccordo A8-Fiera Milano,,,,,-
A09,A9 Lainate-Chiasso,A09,A9,A9 LAINATE-COMO CHIASSO,A9 Lainate-Como-Chiasso,A09-A9
A10,A10 Genova-Ventimiglia,A10,A10,A10 GENOVA-SAVONA,A10 Genova-Savona-Ventimiglia,A10-A10
R24,Complanare di Savona,A10,R24,A10 GENOVA-SAVONA,Complanare di Savona,A10-R24
A11,A11 Firenze-Pisa nord,A11,A11,A11 FIRENZE-PISA NORD,A11 Firenze-Pisa nord,A11-A11
D11,Diramazione A11-A12 Lucca-Viareggio,A11,D11,A11 FIRENZE-PISA NORD,Diramazione A11-A12 Lucca-Viareggio,A11-D11
R11,Raccordo A1-A11 - Firenze nord,A11,R11,A11 FIRENZE-PISA NORD,Raccordo A1-A11 - Firenze nord,A11-R11
A12,A12 Genova-Rosignano Marittimo,A12,A12,A12 GENOVA-ROMA,A12 Genova-Rosignano Marittimo,A12-A12
A92,A12 Roma-Civitavecchia,A12,A92,A12 ROMA-CIVITAVECCHIA,A12 Roma-Civitavecchia-Tarquinia,A12-A92
D12,A12 Diramazione per Livorno,,,,,-
R18,Raccordo Pisa Centro - FI-PI-LI,,,,,-
R30,Raccordo Collesalvetti - FI-PI-LI,,,,,-
R59,RACC. A12/VIAREGGIO,,,,,-
R69,RACCORDO ROSIGNANO 303,,,,,-
A13,A13 Bologna-Padova,A13,A13,A13 BOLOGNA-PADOVA,A13 Bologna-Padova,A13-A13
D13,A13 Diramazione per Padova sud,,,,,-
D23,A13 Diramazione per Ferrara,,,,,-
R13,Raccordo A13-Tangenziale Bologna,,,,,-
A14,A14 Bologna-Taranto,A14,A14,A14 BOLOGNA-TARANTO,A14 Bologna-Taranto,A14-A14
D14,A14 Diramazione per Ravenna,A14,D14,A14 BOLOGNA-TARANTO,A14 Diramazione per Ravenna,A14-D14
D94,A14 Raccordo per Tangenziale Bari,,,,,-
R14,Raccordo A1-A14 Bologna Casalecchio,,,,,-
R74,RACCORDO PALAGIANELLO,,,,,-
R88,RACCORDO D94 CON SS96,,,,,-
A15,A15 Parma-La Spezia,A15,A15,A15 PARMA-LA SPEZIA,A15 Parma-La Spezia,A15-A15
D15,A15 Diram.La Spezia-S.Stefano Magra,,,,,-
D16,A15 Diram. Sissa- Trecasali,,,,,-
R19,A15 Raccordo La Spezia-Lerici,,,,,-
A16,A16 Napoli-Canosa,A16,A16,A16 NAPOLI-CANOSA,A16 Napoli-Canosa,A16-A16
A18,A18 Messina-Catania,,,,,-
A19,A19 Palermo-Catania,,,,,-
D29,DIRAMAZIONE PER CALTANISSETTA,,,,,-
A20,A20 Messina-Palermo,,,,,-
A21,A21 Torino-Piacenza-Brescia,A21,A21,A21 TORINO-BRESCIA,A21 Torino-Piacenza-Brescia,A21-A21
D21,Diramazione A1-A21 per Fiorenzuola,,,,,-
