autostrade_dtx,autostrade_nome,idImpianto,nome_impianto
3537,S.ZENONE EST,42636,S.ZENONE EST
10127,S.ZENONE OVEST,43690,S.ZENONE OVEST
3534,SOMAGLIA EST,3533,SOMAGLIA EST
10126,SOMAGLIA OVEST,3473,SOMAGLIA OVEST
3531,ARDA EST,3492,ARDA EST
10125,ARDA OVEST,46660,ARDA OVEST
3542,S.MARTINO EST,52621,S.MARTINO EST
10129,S.MARTINO OVEST,3618,S.MARTINO OVEST
3539,SECCHIA EST,3612,SECCHIA EST
10128,SECCHIA OVEST,3553,SECCHIA OVEST
3549,CANTAGALLO EST,3857,CANTAGALLO EST
10130,CANTAGALLO OVEST,3918,CANTAGALLO OVEST
10510,RONCOBILACCIO OVEST,37288,RONCOBILACCIO OVEST
10509,RONCOBILACCIO EST,36723,RONCOBILACCIO EST
3555,AGLIO EST,3687,AGLIO EST
10132,BISENZIO OVEST,3510,BISENZIO OVEST
3558,BISENZIO EST,36828,BISENZIO EST
3574,CHIANTI EST,3486,CHIANTI EST
10139,CHIANTI OVEST,39736,CHIANTI OVEST
10138,ARNO OVEST,53509,ARNO OVEST
24988,ARNO EST,3574,ARNO EST
10137,BADIA AL PINO OVEST,3471,BADIA AL PINO OVEST
3569,BADIA AL PINO EST,3537,BADIA AL PINO EST
3568,LUCIGNANO EST,41500,LUCIGNANO EST
10136,LUCIGNANO OVEST,29384,LUCIGNANO OVEST
3561,MONTEPULCIANO EST,3489,MONTEPULCIANO EST
10133,MONTEPULCIANO OVEST,59918,MONTEPULCIANO OVEST
3562,FABRO EST,44643,FABRO EST
10134,FABRO OVEST,3855,FABRO OVEST
3582,TEVERE EST,48233,TEVERE EST
10142,TEVERE OVEST,48191,TEVERE OVEST
3581,GIOVE EST,3624,GIOVE EST
10141,GIOVE OVEST,54769,GIOVE OVEST
3566,FLAMINIA EST,36843,FLAMINIA EST
10135,FLAMINIA OVEST,59744,FLAMINIA OVEST
10140,MASCHERONE OVEST,41129,MASCHERONE OVEST
3578,MASCHERONE EST,3549,MASCHERONE EST
10145,PRENESTINA OVEST,3598,PRENESTINA OVEST
3595,PRENESTINA EST,3493,PRENESTINA EST
10147,LA MACCHIA OVEST,3748,LA MACCHIA OVEST
3607,LA MACCHIA EST,29383,LA MACCHIA EST
10146,CASILINA OVEST,3719,CASILINA OVEST
3603,CASILINA EST,36932,CASILINA EST
10143,TEANO OVEST,48308,TEANO OVEST
3586,TEANO EST,51310,TEANO EST
3587,S.NICOLA EST,3668,S.NICOLA EST
10144,S.NICOLA OVEST,3654,S.NICOLA OVEST
24854,MASSERIA EST,3515,MASSERIA EST
599,FERONIA EST,36292,FERONIA EST
10095,SALARIA OVEST,54985,SALARIA OVEST
603,SALARIA EST,50777,SALARIA EST
10097,FRASCATI OVEST,36983,FRASCATI OVEST
611,FRASCATI EST,3547,FRASCATI EST
608,TUSCOLANA EST,51595,TUSCOLANA EST
10096,TUSCOLANA OVEST,49706,TUSCOLANA OVEST
25043,S.PIETRO,3513,S.PIETRO
24853,CITTADELLA,41853,CITTADELLA
25933,BADIA NUOVA OVEST,34074,BADIA NUOVA OVEST
3699,SETTIMO SUD,3987,SETTIMO TORINESE SUD
10150,SAN ROCCO SUD,51956,SAN ROCCO SUD
24676,CIGLIANO NORD,41680,CIGLIANO NORD
3718,VILLARBOIT SUD,43638,VILLARBOIT SUD
10151,VILLARBOIT NORD,51374,VILLARBOIT NORD
10504,NOVARA NORD,31411,NOVARA NORD
10503,NOVARA SUD,37965,NOVARA SUD
10152,RHO SUD,59969,RHO SUD
3723,PERO NORD,3816,PERO NORD
24933,NOVATE NORD,43747,NOVATE NORD
3735,LAMBRO NORD,36458,LAMBRO NORD
10155,LAMBRO SUD,3548,LAMBRO SUD
10154,BRIANZA SUD,24292,BRIANZA SUD
3728,BRIANZA NORD,3630,BRIANZA NORD
10156,BREMBO NORD,4645,BREMBO NORD
3740,BREMBO SUD,25613,BREMBO SUD
3727,SEBINO NORD,58889,SEBINO NORD
10153,SEBINO SUD,3552,SEBINO SUD
3747,VALTROMPIA NORD,58075,VALTROMPIA NORD
10157,VALTROMPIA SUD,31429,VALTROMPIA SUD
3768,SAN GIACOMO OVEST,56730,S. GIACOMO OVEST
10163,SAN GIACOMO EST,3530,S. GIACOMO EST
3758,MONTE ALTO OVEST,3636,MONTE ALTO NORD
