nodo_id,nodo_name,km,direzione,autostrada_id,tipo_nodo
*/3390  [3920],5 BIS,4.5,D,T12,CASELLO
*/3390  [3920],5 BIS,4.5,S,T12,CASELLO
*/1681  [2425],ACCESSO EST MERCI FIERA MILANO,3.0,D,R37,CASELLO
*/1681  [2425],ACCESSO EST MERCI FIERA MILANO,3.0,S,R37,CASELLO
*/1683  [2427],ACCESSO NORD-EST FIERA MILANO,3.6,D,R37,CASELLO
*/1683  [2427],ACCESSO NORD-EST FIERA MILANO,3.6,S,R37,CASELLO
*/1680  [2424],ACCESSO SUD-OVEST FIERA MILANO,1.5,D,R37,CASELLO
*/1680  [2424],ACCESSO SUD-OVEST FIERA MILANO,1.5,S,R37,CASELLO
30/8  [2097],ACIREALE,69.0,D,A18,CASELLO
30/8  [2097],ACIREALE,69.0,S,A18,CASELLO
*/2818  [2974],ACQUANEGRA,3.0,S,A59,CASELLO
*/2818  [2974],ACQUANEGRA,3.0,D,A59,CASELLO
1/739  [690],ACQUAVIVA DELLE FONTI,697.6,D,A14,CASELLO
1/739  [690],ACQUAVIVA DELLE FONTI,697.6,S,A14,CASELLO
*/1369  [2066],AEROPORTO MARCO POLO,0.0,S,D25,CASELLO
*/1369  [2066],AEROPORTO MARCO POLO,0.0,D,D25,CASELLO
*/1916  [2812],AEROPORTO MONTICHIARI,27.26,D,R68,CASELLO
*/1916  [2812],AEROPORTO MONTICHIARI,27.26,S,R68,CASELLO
*/1689  [2434],AEROPORTO TORINO CASELLE,15.7,S,R38,CASELLO
*/1689  [2434],AEROPORTO TORINO CASELLE,15.7,D,R38,CASELLO
1/669  [889],AFFI,206.7,D,A22,CASELLO
1/669  [889],AFFI,206.7,S,A22,CASELLO
*/1861  [2646],AGIRA,144.0,D,A19,CASELLO
*/1861  [2646],AGIRA,144.0,S,A19,CASELLO
15/2  [58],AGNANO,7.2,S,A56,CASELLO
15/2  [58],AGNANO,7.2,D,A56,CASELLO
1/653  [186],AGRATE,145.8,S,A04,CASELLO
1/653  [186],AGRATE,145.8,D,A04,CASELLO
1/622  [70107],AGUGLIARO,32.102,S,A31,CASELLO
1/622  [70107],AGUGLIARO,32.102,D,A31,CASELLO
1/832  [71652],AIELLI-CELANO,101.258,S,A25,CASELLO
1/832  [71652],AIELLI-CELANO,101.258,D,A25,CASELLO
1/670  [903],ALA AVIO,179.1,D,A22,CASELLO
1/670  [903],ALA AVIO,179.1,S,A22,CASELLO
1/486  [70792],ALBENGA,81.2,S,A10,CASELLO
1/486  [70792],ALBENGA,81.2,D,A10,CASELLO
*/2819  [2976],ALBESE CON CASSANO,11.0,S,A59,CASELLO
*/2819  [2976],ALBESE CON CASSANO,11.0,D,A59,CASELLO
1/621  [70084],ALBETTONE-BARBARANO,38.662,S,A31,CASELLO
1/621  [70084],ALBETTONE-BARBARANO,38.662,D,A31,CASELLO
1/405  [72007],ALBIANO,7.9,D,R04,CASELLO
1/405  [72007],ALBIANO,7.9,S,R04,CASELLO
1/272  [70797],ALBIANO MAGRA,93.121,D,A12,CASELLO
1/272  [70797],ALBIANO MAGRA,93.121,S,A12,CASELLO
1/221  [477],ALBISOLA,36.4,S,A10,CASELLO
1/221  [477],ALBISOLA,36.4,D,A10,CASELLO
1/452  [72051],ALESSANDRIA EST,76.0,S,A21,CASELLO
1/452  [72051],ALESSANDRIA EST,76.0,D,A21,CASELLO
1/451  [72058],ALESSANDRIA OVEST,66.0,D,A21,CASELLO
1/451  [72058],ALESSANDRIA OVEST,66.0,S,A21,CASELLO
*/1812  [4059],ALPI GRAIE,0.4,S,T03,CASELLO
*/1812  [4059],ALPI GRAIE,0.4,D,T03,CASELLO
*/1747  [2509],ALPO ZAI,2.0,S,T12,CASELLO
*/1747  [2509],ALPO ZAI,2.0,D,T12,CASELLO
1/362  [1015],ALTARE,109.6,S,A06,CASELLO
1/362  [1015],ALTARE,109.6,D,A06,CASELLO
*/1847  [2632],ALTAVILLA MILICIA,11.0,D,A19,CASELLO
*/1847  [2632],ALTAVILLA MILICIA,11.0,S,A19,CASELLO
1/102  [348],ALTEDO,20.5,D,A13,CASELLO
1/102  [348],ALTEDO,20.5,S,A13,CASELLO
*/1528  [2256],ALTILIA,286.0,S,A02,CASELLO
*/1528  [2256],ALTILIA,286.0,D,A02,CASELLO
1/562  [70827],ALTIVOLE,68.841,D,SPV,CASELLO
1/562  [70827],ALTIVOLE,68.841,S,SPV,CASELLO
*/1520  [2248],ALTOMONTE,214.0,D,A02,CASELLO
*/1520  [2248],ALTOMONTE,214.0,S,A02,CASELLO
1/339  [394],ALTOPASCIO,49.3,D,A11,CASELLO
1/339  [394],ALTOPASCIO,49.3,S,A11,CASELLO
1/707  [462],ANAGNI,603.9,S,A01,CASELLO
1/707  [462],ANAGNI,603.9,D,A01,CASELLO
1/53  [629],ANCONA NORD,213.5,S,A14,CASELLO
1/53  [629],ANCONA NORD,213.5,D,A14,CASELLO
1/54  [630],ANCONA SUD,230.4,D,A14,CASELLO
1/54  [630],ANCONA SUD,230.4,S,A14,CASELLO
1/487  [70793],ANDORA,93.2,D,A10,CASELLO
1/487  [70793],ANDORA,93.2,S,A10,CASELLO
1/733  [588],ANDRIA,626.9,D,A14,CASELLO
1/733  [588],ANDRIA,626.9,S,A14,CASELLO
6/10  [70248],ANGRI,29.94,D,A03,CASELLO
6/10  [70248],ANGRI,29.94,S,A03,CASELLO
6/18  [70254],ANGRI SUD,31.83,S,A03,CASELLO
6/18  [70254],ANGRI SUD,31.83,D,A03,CASELLO
1/414  [5],AOSTA,100.2,D,A05,CASELLO
1/414  [5],AOSTA,100.2,S,A05,CASELLO
1/413  [940],AOSTA EST,0.1,D,R29,CASELLO
1/413  [940],AOSTA EST,0.1,S,R29,CASELLO
34/469  [2193],AOSTA EST,101.1,S,A05,CASELLO
34/469  [2193],AOSTA EST,101.1,D,A05,CASELLO
36/415  [1853],AOSTA OVEST,112.8,S,A05,CASELLO
36/415  [1853],AOSTA OVEST,112.8,D,A05,CASELLO
37/427  [2122],AOSTA OVEST SVINCOLO,112.7,D,A05,CASELLO
37/427  [2122],AOSTA OVEST SVINCOLO,112.7,S,A05,CASELLO
*/1373  [2070],AREA RETROPORTUALE,0.5,S,D15,CASELLO
*/1373  [2070],AREA RETROPORTUALE,0.5,D,D15,CASELLO
15/6  [63],ARENELLA,15.3,S,A56,CASELLO
15/6  [63],ARENELLA,15.3,D,A56,CASELLO
1/218  [473],ARENZANO,20.2,S,A10,CASELLO
1/218  [473],ARENZANO,20.2,D,A10,CASELLO
1/26  [390],AREZZO,358.5,D,A01,CASELLO
1/26  [390],AREZZO,358.5,S,A01,CASELLO
1/441  [2670],ARLUNO,110.5,D,A04,CASELLO
1/441  [2670],ARLUNO,110.5,S,A04,CASELLO
1/491  [70785],ARMA DI TAGGIA,128.4,S,A10,CASELLO
1/491  [70785],ARMA DI TAGGIA,128.4,D,A10,CASELLO
*/1086  [764],ASSAGO,2.0,S,A07,CASELLO
*/1086  [764],ASSAGO,2.0,D,A07,CASELLO
1/812  [71737],ASSERGI,116.828,D,A24,CASELLO
1/812  [71737],ASSERGI,116.828,S,A24,CASELLO
1/448  [72057],ASTI EST,38.7,S,A21,CASELLO
1/448  [72057],ASTI EST,38.7,D,A21,CASELLO
1/447  [72056],ASTI OVEST,32.5,D,A21,CASELLO
1/447  [72056],ASTI OVEST,32.5,S,A21,CASELLO
15/1  [57],ASTRONI,5.4,S,A56,CASELLO
15/1  [57],ASTRONI,5.4,D,A56,CASELLO
*/1507  [2235],ATENA LUCANA,83.0,S,A02,CASELLO
*/1507  [2235],ATENA LUCANA,83.0,D,A02,CASELLO
1/32  [422],ATTIGLIANO,479.5,D,A01,CASELLO
1/32  [422],ATTIGLIANO,479.5,S,A01,CASELLO
1/156  [562],AULLA,91.4,D,A15,CASELLO
1/156  [562],AULLA,91.4,S,A15,CASELLO
12/3  [448],AURELIA,52.3,S,A92,CASELLO
12/3  [448],AURELIA,52.3,D,A92,CASELLO
*/2800  [1947],AUTOPORTO,15.526,S,A34,CASELLO
*/2800  [1947],AUTOPORTO,15.526,D,A34,CASELLO
*/1232  [1038],AUTOPORTO FRENEY,14.0,S,TR4,CASELLO
*/1232  [1038],AUTOPORTO FRENEY,14.0,D,TR4,CASELLO
*/1234  [1040],AUTOPORTO FRENEY SVINCOLO,18.2,S,TR4,CASELLO
*/1234  [1040],AUTOPORTO FRENEY SVINCOLO,18.2,D,TR4,CASELLO
*/1261  [2009],AVELLINO,30.0,S,S30,CASELLO
*/1261  [2009],AVELLINO,30.0,D,S30,CASELLO
1/722  [699],AVELLINO EST,49.7,S,A16,CASELLO
1/722  [699],AVELLINO EST,49.7,D,A16,CASELLO
1/721  [788],AVELLINO OVEST,41.1,D,A16,CASELLO
1/721  [788],AVELLINO OVEST,41.1,S,A16,CASELLO
24/191  [1845],AVIGLIANA,9.0,D,A32,CASELLO
24/191  [1845],AVIGLIANA,9.0,S,A32,CASELLO
*/1275  [1843],AVIGLIANA EST (INIZIO TG NORD DI TORINO/SITAF PER/DA BARDONECCHIA),7.0,D,A32,CASELLO
*/1275  [1843],AVIGLIANA EST (INIZIO TG NORD DI TORINO/SITAF PER/DA BARDONECCHIA),7.0,S,A32,CASELLO
*/1276  [1844],AVIGLIANA OVEST,8.7,S,A32,CASELLO
*/1276  [1844],AVIGLIANA OVEST,8.7,D,A32,CASELLO
*/1913  [2809],AZZANO,12.4,S,R68,CASELLO
*/1913  [2809],AZZANO,12.4,D,R68,CASELLO
*/1049  [1923],AZZANO DECIMO,13.951,D,A28,CASELLO
*/1049  [1923],AZZANO DECIMO,13.951,S,A28,CASELLO
*/2299  [2715],BADESSE,5.9,D,RA3,CASELLO
*/2299  [2715],BADESSE,5.9,S,RA3,CASELLO
1/94  [70130],BADIA,17.484,S,VAR,CASELLO
1/94  [70130],BADIA,17.484,D,VAR,CASELLO
1/626  [70090],BADIA POLESINE,5.087,S,A31,CASELLO
1/626  [70090],BADIA POLESINE,5.087,D,A31,CASELLO
*/1845  [2630],BAGHERIA,6.0,S,A19,CASELLO
*/1845  [2630],BAGHERIA,6.0,D,A19,CASELLO
*/1727  [2458],BAGNACAVALLO,13.5,D,D14,CASELLO
*/1727  [2458],BAGNACAVALLO,13.5,S,D14,CASELLO
*/1540  [2268],BAGNARA CALABRA,412.0,D,A02,CASELLO
*/1540  [2268],BAGNARA CALABRA,412.0,S,A02,CASELLO
1/720  [787],BAIANO,26.6,D,A16,CASELLO
1/720  [787],BAIANO,26.6,S,A16,CASELLO
1/432  [872],BALOCCO,60.0,S,A04,CASELLO
1/432  [872],BALOCCO,60.0,D,A04,CASELLO
*/2955  [2955],BARANZATE,21.15,D,A52,CASELLO
*/2955  [2955],BARANZATE,21.15,S,A52,CASELLO
1/18  [2489],BARBERINO DI MUGELLO,261.5,S,A01,CASELLO
1/18  [2489],BARBERINO DI MUGELLO,261.5,D,A01,CASELLO
28/4  [15],BARCELLONA,47.0,D,A20,CASELLO
28/4  [15],BARCELLONA,47.0,S,A20,CASELLO
*/1324  [127],BARCHETTE,2.0,D,A53,CASELLO
*/1324  [127],BARCHETTE,2.0,S,A53,CASELLO
*/1240  [1048],BARDONECCHIA,72.3,S,A32,CASELLO
*/1240  [1048],BARDONECCHIA,72.3,D,A32,CASELLO
*/193  [1035],BARDONECCHIA,0.2,S,TR4,CASELLO
*/193  [1035],BARDONECCHIA,0.2,D,TR4,CASELLO
*/1231  [1034],BARDONECCHIA SVINCOLO,0.1,S,TR4,CASELLO
*/1231  [1034],BARDONECCHIA SVINCOLO,0.1,D,TR4,CASELLO
*/2307  [2723],BARGINO,44.3,D,RA3,CASELLO
*/2307  [2723],BARGINO,44.3,S,RA3,CASELLO
1/738  [689],BARI SUD,677.8,S,A14,CASELLO
1/738  [689],BARI SUD,677.8,D,A14,CASELLO
1/374  [70126],BARIANO,35.16,D,A35,CASELLO
1/374  [70126],BARIANO,35.16,S,A35,CASELLO
*/1549  [2277],BARONISSI,4.6,S,S30,CASELLO
*/1549  [2277],BARONISSI,4.6,D,S30,CASELLO
5/1  [822],BARRIERA DI AGRATE,19.6,S,A51,CASELLO
5/1  [822],BARRIERA DI AGRATE,19.6,D,A51,CASELLO
9/468  [72014],BARRIERA DI BEINASCO,2.4,D,D01,CASELLO
9/468  [72014],BARRIERA DI BEINASCO,2.4,S,D01,CASELLO
9/417  [72009],BARRIERA DI BRUERE,3.0,D,T03,CASELLO
9/417  [72009],BARRIERA DI BRUERE,3.0,S,T03,CASELLO
1/537  [70774],BARRIERA DI CORDIGNANO,36.428,D,A28,CASELLO
1/537  [70774],BARRIERA DI CORDIGNANO,36.428,S,A28,CASELLO
9/418  [72012],BARRIERA DI FALCHERA,0.5,D,D03,CASELLO
9/418  [72012],BARRIERA DI FALCHERA,0.5,S,D03,CASELLO
1/302  [2735],BARRIERA DI ROSIGNANO,206.9,S,A12,CASELLO
1/302  [2735],BARRIERA DI ROSIGNANO,206.9,D,A12,CASELLO
5/659  [823],BARRIERA DI SESTO SAN GIOVANNI,3.7,S,A52,CASELLO
5/659  [823],BARRIERA DI SESTO SAN GIOVANNI,3.7,D,A52,CASELLO
9/419  [72011],BARRIERA DI SETTIMO TORINESE,3.7,D,A05,CASELLO
9/419  [72011],BARRIERA DI SETTIMO TORINESE,3.7,S,A05,CASELLO
9/416  [72010],BARRIERA DI TROFARELLO,3.8,D,T05,CASELLO
9/416  [72010],BARRIERA DI TROFARELLO,3.8,S,T05,CASELLO
1/496  [70795],BARRIERA VENTIMIGLIA CONFINE,151.801,D,A10,CASELLO
1/496  [70795],BARRIERA VENTIMIGLIA CONFINE,151.801,S,A10,CASELLO
*/1665  [2405],BASALDELLA/S.OSVALDO,124.4,D,T11,CASELLO
*/1665  [2405],BASALDELLA/S.OSVALDO,124.4,S,T11,CASELLO
*/1122  [3933],BASCIANO,148.6,S,A24,CASELLO
*/1122  [3933],BASCIANO,148.6,D,A24,CASELLO
1/559  [70824],BASSANO EST-ROSA',52.642,S,SPV,CASELLO
1/559  [70824],BASSANO EST-ROSA',52.642,D,SPV,CASELLO
1/558  [70823],BASSANO OVEST,47.962,D,SPV,CASELLO
1/558  [70823],BASSANO OVEST,47.962,S,SPV,CASELLO
1/4  [266],BASSO LODIGIANO,49.7,S,A01,CASELLO
1/4  [266],BASSO LODIGIANO,49.7,D,A01,CASELLO
*/1500  [2228],BATTIPAGLIA,23.0,D,A02,CASELLO
*/1500  [2228],BATTIPAGLIA,23.0,S,A02,CASELLO
*/1742  [2504],BELLANTE,87.6,D,S80,CASELLO
*/1742  [2504],BELLANTE,87.6,S,S80,CASELLO
1/528  [50],BELLUNO,75.2,S,A27,CASELLO
1/528  [50],BELLUNO,75.2,D,A27,CASELLO
*/1285  [22],BELLUNO SVINCOLO,77.2,D,A27,CASELLO
*/1285  [22],BELLUNO SVINCOLO,77.2,S,A27,CASELLO
1/723  [700],BENEVENTO,68.7,S,A16,CASELLO
1/723  [700],BENEVENTO,68.7,D,A16,CASELLO
1/154  [559],BERCETO,51.0,S,A15,CASELLO
1/154  [559],BERCETO,51.0,D,A15,CASELLO
*/1323  [126],BEREGUARDO SVINCOLO,0.6,D,A53,CASELLO
*/1323  [126],BEREGUARDO SVINCOLO,0.6,S,A53,CASELLO
1/648  [193],BERGAMO,172.4,S,A04,CASELLO
1/648  [193],BERGAMO,172.4,D,A04,CASELLO
1/245  [140],BESNATE,4.0,D,D08,CASELLO
1/245  [140],BESNATE,4.0,S,D08,CASELLO
1/434  [874],BIANDRATE,73.6,S,A04,CASELLO
1/434  [874],BIANDRATE,73.6,D,A04,CASELLO
*/1345  [2039],BINASCO,1.0,S,SP2,CASELLO
1/202  [746],BINASCO,10.5,S,A07,CASELLO
*/1080  [262],BINASCO,8.1,S,A01,CASELLO
*/1345  [2039],BINASCO,1.0,D,SP2,CASELLO
*/1080  [262],BINASCO,8.1,D,A01,CASELLO
1/202  [746],BINASCO,10.5,D,A07,CASELLO
