dtx,c_ads,nome,n_prg_str,n_prg_ram,n_prg_km,c_str,c_ram,c_ver_per,c_dir,t_des_str,t_des_ram,dir,cap,aspi,c_reg,c_soc,daDes,daDtx,daType,aaDes,aaDtx,c_unv_pnt_pri,c_unv_pnt_sec,aaType,carbCbrd,carbDesbrd,lon,lat,c_tip_dev,radius,position,autostrade_dtx,idImpianto,nome_impianto,Bandiera,Brand
3537,A10,S.ZENONE EST,1,1,15.1,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,MILANO,MILANO,S,3,6,Lodi,24837,SC,Allacciamento A1/A58,25879,2494,70121,NC,a1C7T0000007cphUAA,Q8,9.37615,45.3217,ADS,22,"{'lat': 45.3217, 'lon': 9.37615, 'type': 'ADS', 'radius': 22}",3537,42636.0,S.ZENONE EST,Q8,Q8
10127,A11,S.ZENONE OVEST,1,1,15.1,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,BOLOGNA,NAPOLI,S,3,6,Allacciamento A1/A58,25879,NC,Lodi,24837,70121,2494,SC,a1C7T0000007cphUAA,Q8,9.3757,45.32133,ADS,23,"{'lat': 45.32133, 'lon': 9.3757, 'type': 'ADS', 'radius': 23}",10127,43690.0,S.ZENONE OVEST,Q8,Q8
3534,A15,SOMAGLIA EST,1,1,43.5,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,MILANO,MILANO,S,3,6,Basso Lodigiano,3533,SC,Casalpusterlengo,24838,266,2495,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,9.63417,45.14287,ADS,26,"{'lat': 45.14287, 'lon': 9.63417, 'type': 'ADS', 'radius': 26}",3534,3533.0,SOMAGLIA EST,Api-Ip,IP GRUPPO API
10126,A16,SOMAGLIA OVEST,1,1,43.5,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,BOLOGNA,NAPOLI,S,3,6,Casalpusterlengo,24838,SC,Basso Lodigiano,3533,2495,266,SC,a1C7T0000007cpHUAQ,ENI,9.63365,45.14255,ADS,20,"{'lat': 45.14255, 'lon': 9.63365, 'type': 'ADS', 'radius': 20}",10126,3473.0,SOMAGLIA OVEST,Agip Eni,AGIP ENI
3531,A20,ARDA EST,1,1,73.3,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,MILANO,MILANO,S,8,6,Allacciamento A1/A21 Fiorenzuola,11269,NC,Bivio A1/Fine Complanare Piacenza,24846,1855,2499,NC,a1C7T0000007cpHUAQ,ENI,9.90495,44.96338,ADS,50,"{'lat': 44.96338, 'lon': 9.90495, 'type': 'ADS', 'radius': 50}",3531,3492.0,ARDA EST,Agip Eni,AGIP ENI
10125,A21,ARDA OVEST,1,1,73.3,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,BOLOGNA,NAPOLI,S,8,6,Bivio A1/Fine Complanare Piacenza,24846,NC,Allacciamento A1/A21 Fiorenzuola,11269,2499,1855,NC,a1C7T0000007cpQUAQ,IP GRUPPO API,9.90577,44.962,ADS,42,"{'lat': 44.962, 'lon': 9.90577, 'type': 'ADS', 'radius': 42}",10125,46660.0,ARDA OVEST,Api-Ip,IP GRUPPO API
3542,A25,S.MARTINO EST,1,1,114.1,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,MILANO,MILANO,S,8,6,C.C. A1 Tronco 2-Tronco 3,10904,CC,Parma,3543,417,274,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,10.37895,44.82742,ADS,71,"{'lat': 44.82742, 'lon': 10.37895, 'type': 'ADS', 'radius': 71}",3542,52621.0,S.MARTINO EST,Api-Ip,IP GRUPPO API
10129,A26,S.MARTINO OVEST,1,1,114.1,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,BOLOGNA,NAPOLI,S,8,6,Parma,3543,SC,C.C. A1 Tronco 2-Tronco 3,10904,274,417,CC,a1C7T0000007cpHUAQ,ENI,10.3786,44.82606,ADS,76,"{'lat': 44.82606, 'lon': 10.3786, 'type': 'ADS', 'radius': 76}",10129,3618.0,S.MARTINO OVEST,Agip Eni,AGIP ENI
3539,A30,SECCHIA EST,1,1,156.5,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,MILANO,MILANO,S,8,6,Modena Nord,3547,SC,Allacciamento A1/A22,3540,330,81,NC,a1C7T0000007cphUAA,Q8,10.85746,44.6626,ADS,70,"{'lat': 44.6626, 'lon': 10.85746, 'type': 'ADS', 'radius': 70}",3539,3612.0,SECCHIA EST,Q8,Q8
10128,A31,SECCHIA OVEST,1,1,156.5,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,BOLOGNA,NAPOLI,S,8,6,Allacciamento A1/A22,3540,NC,Modena Nord,3547,81,330,SC,a1CTk000000HIuzMAG,Esso,10.85601,44.66168,ADS,76,"{'lat': 44.66168, 'lon': 10.85601, 'type': 'ADS', 'radius': 76}",10128,3553.0,SECCHIA OVEST,Esso,ESSO
3549,A35,CANTAGALLO EST,1,1,198.9,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,BOLOGNA,MILANO,S,8,6,Sasso Marconi Nord,25948,SC,Allacciamento A1/A14 Bologna Casalecchio,3523,70208,303,NC,a1C7T0000007cpHUAQ,ENI,11.2804,44.4566,ADS,24,"{'lat': 44.4566, 'lon': 11.2804, 'type': 'ADS', 'radius': 24}",3549,3857.0,CANTAGALLO EST,Agip Eni,AGIP ENI
10130,A36,CANTAGALLO OVEST,1,1,198.9,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,NAPOLI,S,8,6,Allacciamento A1/A14 Bologna Casalecchio,3523,NC,Sasso Marconi Nord,25948,303,70208,SC,a1C7T0000007cphUAA,Q8,11.28013,44.45562,ADS,38,"{'lat': 44.45562, 'lon': 11.28013, 'type': 'ADS', 'radius': 38}",10130,3918.0,CANTAGALLO OVEST,Q8,Q8
10510,A41,RONCOBILACCIO OVEST,1,1,242.6,A01,A1,D,D,A1 MILANO-NAPOLI,A1 PANORAMICA,FIRENZE,NAPOLI,S,8,6,Roncobilaccio,3553,SC,Loc. Aglio Km 255,25912,376,70133,NC,a1C7T0000007cqAUAQ,SARNI OIL,11.2311,44.11645,ADS,30,"{'lat': 44.11645, 'lon': 11.2311, 'type': 'ADS', 'radius': 30}",10510,37288.0,RONCOBILACCIO OVEST,Sarni Oil,SARNI OIL
10509,A40,RONCOBILACCIO EST,1,1,242.6,A01,A1,S,S,A1 MILANO-NAPOLI,A1 PANORAMICA,BOLOGNA,MILANO,S,8,6,Loc. Aglio Km 255,25912,NC,Roncobilaccio,3553,70133,376,SC,a1C7T0000007cplUAA,TAMOIL,11.23192,44.11668,ADS,30,"{'lat': 44.11668, 'lon': 11.23192, 'type': 'ADS', 'radius': 30}",10509,36723.0,RONCOBILACCIO EST,Sarni Oil,TAMOIL
3555,A45,AGLIO EST,1,1,255.8,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,BOLOGNA,MILANO,S,8,6,Loc. Aglio Km 255,25912,NC,Roncobilaccio,3553,70133,376,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.22605,44.02912,ADS,56,"{'lat': 44.02912, 'lon': 11.22605, 'type': 'ADS', 'radius': 56}",3555,3687.0,AGLIO EST,Api-Ip,IP GRUPPO API
10132,A51,BISENZIO OVEST,1,1,279.8,A01,A1,D,D,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,NAPOLI,S,9,6,Bivio A1/Complanare Firenze Nord,25232,NC,Firenze Nord,3557,2732,382,SC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.16206,43.84007,ADS,75,"{'lat': 43.84007, 'lon': 11.16206, 'type': 'ADS', 'radius': 75}",10132,3510.0,BISENZIO OVEST,Api-Ip,IP GRUPPO API
3558,A50,BISENZIO EST,1,1,280.4,A01,A1,S,S,A1 MILANO-NAPOLI,A1 Milano-Napoli,FIRENZE,MILANO,S,9,6,Allacciamento A1/A11,3556,NC,Bivio Complanare Firenze Nord/A11,25233,405,2733,NC,a1C7T0000007cpQUAQ,IP GRUPPO API,11.16014,43.83541,ADS,61,"{'lat': 43.83541, 'lon': 11.16014, 'type': 'ADS', 'radius': 61}",3558,36828.0,BISENZIO EST,Api-Ip,IP GRUPPO API
