nodo_id_1,nodo_name_1,nodo_type_1,nodo_id_2,nodo_name_2,nodo_type_2,distanza
*/2834  [3031],SV PORTO CIVITAVECCHIA,CASELLO,*/2833  [3030],SV..BORGATA AURELIA (Civitavecchia Porto per/da P.Civitavecchia),CASELLO,3.9
*/2833  [3030],SV..BORGATA AURELIA (Civitavecchia Porto per/da P.Civitavecchia),CASELLO,*/1905  [2757],ALL.A12/SS 698 PORTO CIVITAVECCHIA,ALLACCIAMENTO,4.2
*/1342  [2034],Inizio A1 Milano-Napoli,ALLACCIAMENTO,*/1343  [2035],Bivio A1/Raccordo Tang. est MI,ALLACCIAMENTO,1.2
*/1343  [2035],Bivio A1/Raccordo Tang. est MI,ALLACCIAMENTO,*/1077  [1073],San Giuliano,CASELLO,1.5
*/1077  [1073],San Giuliano,CASELLO,*/1139  [260],Bivio A1/Tangenziale ovest MI,ALLACCIAMENTO,1.6
*/1139  [260],Bivio A1/Tangenziale ovest MI,ALLACCIAMENTO,35/37  [1118],Melegnano,CASELLO,3.4
35/37  [1118],Melegnano,CASELLO,*/1080  [262],Binasco,CASELLO,0.4
*/1080  [262],Binasco,CASELLO,*/1082  [261],Melegnano Svincolo,CASELLO,0.5
*/1082  [261],Melegnano Svincolo,CASELLO,1/1  [146],Milano sud,CASELLO,0.3
1/1  [146],Milano sud,CASELLO,1/5043  [70121],BIVIO A1/A58,ALLACCIAMENTO,1.75
1/5043  [70121],BIVIO A1/A58,ALLACCIAMENTO,10127,S.ZENONE OVEST,DISTRIBUTORE,4.45
10127,S.ZENONE OVEST,DISTRIBUTORE,1/2  [2494],Lodi,CASELLO,7.2
1/2  [2494],Lodi,CASELLO,1/3  [2495],Casalpusterlengo,CASELLO,15.5
1/3  [2495],Casalpusterlengo,CASELLO,10126,SOMAGLIA OVEST,DISTRIBUTORE,5.7
10126,SOMAGLIA OVEST,DISTRIBUTORE,1/4  [266],Basso Lodigiano,CASELLO,6.2
1/4  [266],Basso Lodigiano,CASELLO,1/1445  [2498],Bivio A1/Inizio Complanare Piacenza,ALLACCIAMENTO,6.1
1/1445  [2498],Bivio A1/Inizio Complanare Piacenza,ALLACCIAMENTO,1/1444  [2499],Bivio A1/Fine Complanare Piacenza,ALLACCIAMENTO,2.5
