distributore_id,prezzo,data_update,ora_update,tipo_carburante
10154,1.485,01/01/2025,04:40:11,METANO
10126,1.465,01/01/2025,08:20:11,METANO
10073,0.977,01/04/2025,17:33:17,GPL
10032,1.799,01/07/2025,05:32:02,BENZINA
10032,1.759,01/07/2025,05:32:02,DIESEL
3549,1.809,01/07/2025,06:08:16,BENZINA
3549,1.769,01/07/2025,06:08:16,DIESEL
10179,1.809,01/07/2025,06:56:14,BENZINA
10179,1.779,01/07/2025,06:56:14,DIESEL
3568,1.819,01/07/2025,06:58:11,BENZINA
3568,1.759,01/07/2025,06:58:11,DIESEL
3566,1.819,01/07/2025,07:28:38,BENZINA
3566,1.759,01/07/2025,07:34:13,DIESEL
10135,1.819,01/07/2025,10:12:58,BENZINA
10135,1.759,01/07/2025,10:13:25,DIESEL
10135,0.799,01/07/2025,10:13:49,GPL
22,1.748,01/07/2025,15:08:00,DIESEL
10154,1.747,01/08/2025,03:34:07,DIESEL
159,1.696,01/08/2025,04:56:32,DIESEL
10032,1.696,01/08/2025,04:58:30,DIESEL
10187,0.899,01/08/2025,05:49:49,GPL
3854,1.799,01/08/2025,05:57:00,BENZINA
3854,1.779,01/08/2025,05:57:00,DIESEL
10146,1.776,01/08/2025,06:00:00,BENZINA
10146,1.703,01/08/2025,06:00:00,DIESEL
3832,1.749,01/08/2025,06:01:03,BENZINA
3832,1.697,01/08/2025,06:01:50,DIESEL
10140,1.799,01/08/2025,06:19:50,BENZINA
10140,1.749,01/08/2025,06:20:19,DIESEL
10140,0.899,01/08/2025,06:21:57,GPL
79,1.799,01/08/2025,06:22:00,BENZINA
79,1.759,01/08/2025,06:22:00,DIESEL
10140,1.559,01/08/2025,06:22:28,METANO
10133,1.749,01/08/2025,06:24:26,BENZINA
10133,1.699,01/08/2025,06:24:54,DIESEL
10007,1.778,01/08/2025,06:40:00,BENZINA
10007,1.748,01/08/2025,06:40:00,DIESEL
3549,1.679,01/08/2025,06:46:26,DIESEL
10197,1.769,01/08/2025,06:49:48,BENZINA
10197,1.749,01/08/2025,06:50:45,DIESEL
3747,1.849,01/08/2025,06:56:00,BENZINA
3747,1.819,01/08/2025,06:56:00,DIESEL
3747,0.929,01/08/2025,06:56:00,GPL
3747,1.579,01/08/2025,06:56:00,METANO
25069,1.697,01/08/2025,07:04:29,DIESEL
10076,1.797,01/08/2025,07:05:00,BENZINA
10076,1.779,01/08/2025,07:05:00,DIESEL
10076,0.849,01/08/2025,07:05:00,GPL
3861,1.769,01/08/2025,07:06:18,BENZINA
3861,1.704,01/08/2025,07:06:54,DIESEL
3861,0.799,01/08/2025,07:08:22,GPL
168,1.749,01/08/2025,07:22:00,BENZINA
168,1.719,01/08/2025,07:22:00,DIESEL
168,0.869,01/08/2025,07:22:00,GPL
3578,1.819,01/08/2025,07:25:00,BENZINA
3578,1.719,01/08/2025,07:25:00,DIESEL
3578,0.799,01/08/2025,07:25:00,GPL
3578,1.399,01/08/2025,07:25:00,METANO
608,1.749,01/08/2025,07:32:00,BENZINA
608,1.699,01/08/2025,07:32:00,DIESEL
162,1.869,01/08/2025,07:34:00,BENZINA
162,1.779,01/08/2025,07:34:00,DIESEL
162,0.869,01/08/2025,07:34:00,GPL
10096,1.749,01/08/2025,07:35:00,BENZINA
10096,1.699,01/08/2025,07:35:00,DIESEL
3566,1.769,01/08/2025,07:40:08,BENZINA
3566,1.709,01/08/2025,07:40:08,DIESEL
