"dtx","c_ads","nome","n_prg_str","n_prg_ram","n_prg_km","c_str","c_ram","c_ver_per","c_dir","t_des_str","t_des_ram","dir","cap","aspi","c_reg","c_soc","daDes","daDtx","daType","aaDes","aaDtx","c_unv_pnt_pri","c_unv_pnt_sec","aaType","benPrice","benUpd","bdisPrice","bdisUpd","bgplPrice","bgplUpd","bhvoPrice","bgnsPrice","bmetPrice","bmetUpd","lon","lat","c_tip_dev","radius","prevs","nexts","srvsn","srvsb","events","position","indPmrs","bhvoUpd","bgnsUpd"
"3537","A10","S.ZENONE EST","1","1","15.1","A01","A1","S","S","A1 MILANO-NAPOLI","A1 Milano-Napoli","MILANO","MILANO","S","3","6","Lodi","24837","SC","Allacciamento A1/A58","25879","2494","70121","NC","1.779","1752667829000.0","1.744","1752667849000.0","0.869","1752667913000.0","0.0","0.0","1.599","1752667935000.0","9.37615","45.3217","ADS","22","[{'km': 43.5, 'c_ads': 'A15', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'MILANO', 'nome': 'SOMAGLIA EST', 'verso': 'MI ', 'dopo_km': 28.5}]","[]","[]","[]","[]","{'lat': 45.3217, 'lon': 9.37615, 'type': 'ADS', 'radius': 22}","","",""
"10127","A11","S.ZENONE OVEST","1","1","15.1","A01","A1","D","D","A1 MILANO-NAPOLI","A1 Milano-Napoli","BOLOGNA","NAPOLI","S","3","6","Allacciamento A1/A58","25879","NC","Lodi","24837","70121","2494","SC","1.779","1752667320000.0","1.744","1752667320000.0","0.794","1752667320000.0","0.0","0.0","1.464","1752667320000.0","9.3757","45.32133","ADS","23","[]","[{'km': 43.5, 'c_ads': 'A16', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'BOLOGNA', 'nome': 'SOMAGLIA OVEST', 'verso': 'NA ', 'dopo_km': 28.5}]","[]","[]","[{'c_ele': '20250715_T02_SIV_E_00399_00001', 'c_soc': 6, 'f_eve_pre': 'E', 'n_wei': 2, 'd_agg': 1752569963000, 'n_prg_str': 1, 'n_prg_ram': 1, 'c_str': 'A01', 'c_ram': 'A01', 't_des_str': 'A1 MILANO-NAPOLI', 't_des_ram': 'A1 Milano-Napoli', 't_des_dir_it': 'Bologna', 't_des_dir_en': 'Bologna', 'c_pnt_dtx_pls_pri': 0, 'c_unv_pnt_pri': 0, 'n_km_ini': 15.1, 'c_sad': '12', 'c_grp_tip': 'D', 't_des_fra_it': 'Camper Service chiuso', 't_des_fra_en': 'Problems in service area', 't_des_fra_cau_it': 'Lavori', 't_des_fra_cau_en': 'Roadworks', 't_des_it': ""L'area di servizio S. Zenone ovest  ha il camper service chiuso per lavori"", 't_des_en': 'S. Zenone Ovest rest area has camper service closed , due to roadworks', 'n_ico_eve': 78, 'n_ico_cau': 20, 'n_crd_lat': 45.32133, 'n_crd_lon': 9.3757, 'imm': '1', 'fapp': False, 'fcom': False, 'eventIntersections': []}]","{'lat': 45.32133, 'lon': 9.3757, 'type': 'ADS', 'radius': 23}","","",""
"3534","A15","SOMAGLIA EST","1","1","43.5","A01","A1","S","S","A1 MILANO-NAPOLI","A1 Milano-Napoli","MILANO","MILANO","S","3","6","Basso Lodigiano","3533","SC","Casalpusterlengo","24838","266","2495","SC","1.875","1752115320000.0","1.799","1751603340000.0","0.0","","0.0","0.0","","","9.63417","45.14287","ADS","26","[{'km': 73.3, 'c_ads': 'A20', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'MILANO', 'nome': 'ARDA EST', 'verso': 'MI ', 'dopo_km': 29.8}]","[{'km': 15.1, 'c_ads': 'A10', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'MILANO', 'nome': 'S.ZENONE EST', 'verso': 'MI ', 'dopo_km': 28.5}]","[]","[]","[]","{'lat': 45.14287, 'lon': 9.63417, 'type': 'ADS', 'radius': 26}","","",""
"10126","A16","SOMAGLIA OVEST","1","1","43.5","A01","A1","D","D","A1 MILANO-NAPOLI","A1 Milano-Napoli","BOLOGNA","NAPOLI","S","3","6","Casalpusterlengo","24838","SC","Basso Lodigiano","3533","2495","266","SC","1.793","1752578888000.0","1.732","1752578888000.0","0.78","1752578888000.0","0.0","0.0","1.465","1735716011000.0","9.63365","45.14255","ADS","20","[{'km': 15.1, 'c_ads': 'A11', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'BOLOGNA', 'nome': 'S.ZENONE OVEST', 'verso': 'NA ', 'dopo_km': 28.5}]","[{'km': 73.3, 'c_ads': 'A21', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'BOLOGNA', 'nome': 'ARDA OVEST', 'verso': 'NA ', 'dopo_km': 29.8}]","[]","[]","[]","{'lat': 45.14255, 'lon': 9.63365, 'type': 'ADS', 'radius': 20}","","",""
"3531","A20","ARDA EST","1","1","73.3","A01","A1","S","S","A1 MILANO-NAPOLI","A1 Milano-Napoli","MILANO","MILANO","S","8","6","Allacciamento A1/A21 Fiorenzuola","11269","NC","Bivio A1/Fine Complanare Piacenza","24846","1855","2499","NC","1.849","1751998090000.0","1.809","1751998090000.0","0.869","1749447249000.0","0.0","0.0","","","9.90495","44.96338","ADS","50","[{'km': 114.1, 'c_ads': 'A25', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'MILANO', 'nome': 'S.MARTINO EST', 'verso': 'MI ', 'dopo_km': 40.7}]","[{'km': 43.5, 'c_ads': 'A15', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'MILANO', 'nome': 'SOMAGLIA EST', 'verso': 'MI ', 'dopo_km': 29.8}]","[]","[]","[]","{'lat': 44.96338, 'lon': 9.90495, 'type': 'ADS', 'radius': 50}","","",""
"10125","A21","ARDA OVEST","1","1","73.3","A01","A1","D","D","A1 MILANO-NAPOLI","A1 Milano-Napoli","BOLOGNA","NAPOLI","S","8","6","Bivio A1/Fine Complanare Piacenza","24846","NC","Allacciamento A1/A21 Fiorenzuola","11269","2499","1855","NC","1.899","1752612265000.0","1.829","1752612299000.0","0.899","1752612330000.0","0.0","0.0","1.469","1752612362000.0","9.90577","44.962","ADS","42","[{'km': 43.5, 'c_ads': 'A16', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'BOLOGNA', 'nome': 'SOMAGLIA OVEST', 'verso': 'NA ', 'dopo_km': 29.8}]","[{'km': 114.1, 'c_ads': 'A26', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'BOLOGNA', 'nome': 'S.MARTINO OVEST', 'verso': 'NA ', 'dopo_km': 40.7}]","[]","[]","[]","{'lat': 44.962, 'lon': 9.90577, 'type': 'ADS', 'radius': 42}","","",""
"3542","A25","S.MARTINO EST","1","1","114.1","A01","A1","S","S","A1 MILANO-NAPOLI","A1 Milano-Napoli","MILANO","MILANO","S","8","6","C.C. A1 Tronco 2-Tronco 3","10904","CC","Parma","3543","417","274","SC","1.869","1752610500000.0","1.819","1752610500000.0","0.899","1752610500000.0","0.0","0.0","1.499","1752610500000.0","10.37895","44.82742","ADS","71","[{'km': 156.5, 'c_ads': 'A30', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'MILANO', 'nome': 'SECCHIA EST', 'verso': 'MI ', 'dopo_km': 4204.0}]","[{'km': 73.3, 'c_ads': 'A20', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'MILANO', 'nome': 'ARDA EST', 'verso': 'MI ', 'dopo_km': 40.7}]","[]","[]","[]","{'lat': 44.82742, 'lon': 10.37895, 'type': 'ADS', 'radius': 71}","","",""
"10129","A26","S.MARTINO OVEST","1","1","114.1","A01","A1","D","D","A1 MILANO-NAPOLI","A1 Milano-Napoli","BOLOGNA","NAPOLI","S","8","6","Parma","3543","SC","C.C. A1 Tronco 2-Tronco 3","10904","274","417","CC","1.849","1752199085000.0","1.809","1752199085000.0","0.809","1750730686000.0","0.0","0.0","1.505","1740887528000.0","10.3786","44.82606","ADS","76","[{'km': 73.3, 'c_ads': 'A21', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'BOLOGNA', 'nome': 'ARDA OVEST', 'verso': 'NA ', 'dopo_km': 40.7}]","[{'km': 156.5, 'c_ads': 'A31', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'BOLOGNA', 'nome': 'SECCHIA OVEST', 'verso': 'NA ', 'dopo_km': 42.4}]","[]","[]","[{'c_ele': '20250716_T02_SIV_E_00303_00001', 'c_soc': 6, 'f_eve_pre': 'E', 'n_wei': 2, 'd_agg': 1752651475000, 'n_prg_str': 1, 'n_prg_ram': 1, 'c_str': 'A01', 'c_ram': 'A01', 't_des_str': 'A1 MILANO-NAPOLI', 't_des_ram': 'A1 Milano-Napoli', 't_des_dir_it': 'Bologna', 't_des_dir_en': 'Bologna', 'c_pnt_dtx_pls_pri': 0, 'c_unv_pnt_pri': 0, 'n_km_ini': 114.1, 'c_sad': '10', 'c_grp_tip': 'D', 't_des_fra_it': 'Mancanza di metano', 't_des_fra_en': 'Problems in service area', 't_des_fra_cau_it': 'Guasto Impianto', 't_des_fra_cau_en': 'system fail', 't_des_it': ""L'area di servizio S. Martino ovest  e' sprovvista di metano per un guasto all'impianto"", 't_des_en': 'S. Martino Ovest rest area is out of methane , due to a breakdown in the equipment', 'n_ico_eve': 75, 'n_ico_cau': 0, 'n_crd_lat': 44.82625, 'n_crd_lon': 10.37872, 'imm': '1', 'fapp': False, 'fcom': False, 'eventIntersections': []}, {'c_ele': '20250506_T02_SIV_E_00504_00001', 'c_soc': 6, 'f_eve_pre': 'E', 'n_wei': 2, 'd_agg': 1746537146000, 'n_prg_str': 1, 'n_prg_ram': 1, 'c_str': 'A01', 'c_ram': 'A01', 't_des_str': 'A1 MILANO-NAPOLI', 't_des_ram': 'A1 Milano-Napoli', 't_des_dir_it': 'Bologna', 't_des_dir_en': 'Bologna', 'c_pnt_dtx_pls_pri': 0, 'c_unv_pnt_pri': 0, 'n_km_ini': 114.1, 'c_sad': 'SAD', 'c_grp_tip': 'D', 't_des_fra_it': 'Ristorante Chiuso', 't_des_fra_en': 'Restaurant closed', 't_des_fra_cau_it': 'Lavori', 't_des_fra_cau_en': 'Roadworks', 't_des_it': ""Ristorante Chiuso nell'area di servizio  San Martino Ovest fino alle 16:00 del 31/07/2025 per lavori"", 't_des_en': 'S. Martino Ovest rest area Restaurant closed  until 16:00 of 31/07/2025, due to roadworks', 'n_ico_eve': 63, 'n_ico_cau': 20, 'n_crd_lat': 44.82625, 'n_crd_lon': 10.37872, 'imm': '1', 'fapp': False, 'fcom': False, 'eventIntersections': []}]","{'lat': 44.82606, 'lon': 10.3786, 'type': 'ADS', 'radius': 76}","","",""
"3539","A30","SECCHIA EST","1","1","156.5","A01","A1","S","S","A1 MILANO-NAPOLI","A1 Milano-Napoli","MILANO","MILANO","S","8","6","Modena Nord","3547","SC","Allacciamento A1/A22","3540","330","81","NC","1.784","1752642600000.0","1.739","1752642600000.0","0.799","1752642600000.0","0.0","0.0","","","10.85746","44.6626","ADS","70","[{'km': 198.9, 'c_ads': 'A35', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'MILANO', 'nome': 'CANTAGALLO EST', 'verso': 'MI ', 'dopo_km': 42.4}]","[{'km': 114.1, 'c_ads': 'A25', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'MILANO', 'nome': 'S.MARTINO EST', 'verso': 'MI ', 'dopo_km': 4204.0}]","[]","[]","[{'c_ele': '20250714_T03_SIV_E_01354_00001', 'c_soc': 6, 'f_eve_pre': 'E', 'n_wei': 2, 'd_agg': 1752523248000, 'n_prg_str': 1, 'n_prg_ram': 1, 'c_str': 'A01', 'c_ram': 'A01', 't_des_str': 'A1 MILANO-NAPOLI', 't_des_ram': 'A1 Milano-Napoli', 't_des_dir_it': 'Milano', 't_des_dir_en': 'Milano', 'c_pnt_dtx_pls_pri': 0, 'c_unv_pnt_pri': 0, 'n_km_ini': 156.5, 'c_sad': '23', 'c_grp_tip': 'D', 't_des_fra_it': 'Servizi di ristorazione non disp.', 't_des_fra_en': 'Problems in service area', 't_des_it': ""L'area di servizio Secchia est  ha i servizi di ristorazione chiusi"", 't_des_en': 'Secchia Est rest area has the catering services closed ,', 'n_ico_eve': 63, 'n_ico_cau': 0, 'n_crd_lat': 44.66267, 'n_crd_lon': 10.85838, 'imm': '1', 'fapp': False, 'fcom': False, 'eventIntersections': []}]","{'lat': 44.6626, 'lon': 10.85746, 'type': 'ADS', 'radius': 70}","","",""
"10128","A31","SECCHIA OVEST","1","1","156.5","A01","A1","D","D","A1 MILANO-NAPOLI","A1 Milano-Napoli","BOLOGNA","NAPOLI","S","8","6","Allacciamento A1/A22","3540","NC","Modena Nord","3547","81","330","SC","1.792","1752522600000.0","1.782","1752522600000.0","0.812","1752517620000.0","0.0","0.0","","","10.85601","44.66168","ADS","76","[{'km': 114.1, 'c_ads': 'A26', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'BOLOGNA', 'nome': 'S.MARTINO OVEST', 'verso': 'NA ', 'dopo_km': 42.4}]","[{'km': 198.9, 'c_ads': 'A36', 'auto': 'A1', 'desc_auto': 'A1 Milano-Napoli', 'cap_trat': 'BOLOGNA', 'nome': 'CANTAGALLO OVEST', 'verso': 'NA ', 'dopo_km': 42.4}]","[]","[]","[]","{'lat': 44.66168, 'lon': 10.85601, 'type': 'ADS', 'radius': 76}","","",""
